dataset_ID,interval,spikes
5,1552,46208
5,1553,11530
5,1554,10312
5,1555,9399
5,1556,9397
5,1557,17658
5,1558,9483
5,1559,12726
5,1560,17362
0,1561,5950
0,1562,7132
0,1563,24436
0,1564,14017
0,1565,8748
0,1566,102580
0,1567,115106
0,1568,77393
0,1569,54874
0,1570,12815
0,1571,7866
0,1572,5344
0,1573,8528
0,1574,7001
0,1575,10214
0,1576,11318
0,1577,16039
0,1578,16228
0,1579,109570
0,1580,10616
0,1581,9551
0,1582,48411
0,1583,18143
0,1584,15951
0,1585,14500
0,1586,11074
0,1587,14010
0,1588,11480
0,1589,8516
0,1590,12053
7,1591,5462
7,1592,7079
7,1593,12861
7,1594,9218
7,1595,11137
7,1596,80360
7,1597,87684
7,1598,78251
7,1599,76618
7,1600,7615
7,1601,4993
7,1602,8712
7,1603,10428
7,1604,9082
7,1605,7815
7,1606,11223
7,1607,9933
7,1608,34925
7,1609,102265
7,1610,10828
7,1611,13321
7,1612,38897
7,1613,19828
7,1614,11690
7,1615,12409
7,1616,17123
7,1617,9805
7,1618,16595
7,1619,14372
7,1620,15634
3,1621,6781
3,1622,12801
3,1623,14218
3,1624,17653
3,1625,10006
3,1626,89340
3,1627,91998
3,1628,76674
3,1629,61815
3,1630,5165
3,1631,5525
3,1632,11207
3,1633,8282
3,1634,16026
3,1635,12337
3,1636,10882
3,1637,6852
3,1638,27620
3,1639,75166
3,1640,14298
3,1641,17370
3,1642,31605
3,1643,18522
3,1644,9730
3,1645,17959
3,1646,7731
3,1647,9435
3,1648,11327
3,1649,21474
3,1650,8266
5,1651,6062
5,1652,10732
5,1653,7970
5,1654,11341
5,1655,13649
5,1656,76261
5,1657,124955
5,1658,70800
5,1659,67544
5,1660,9228
5,1661,6442
5,1662,8643
5,1663,14095
5,1664,12238
5,1665,13011
5,1666,15372
5,1667,13731
5,1668,28134
5,1669,80686
5,1670,14231
5,1671,17189
5,1672,46208
5,1673,11530
5,1674,10312
5,1675,9399
5,1676,9397
5,1677,17658
5,1678,9483
5,1679,12726
5,1680,17362
7,1681,5462
7,1682,7079
7,1683,12861
7,1684,9218
7,1685,11137
7,1686,80360
7,1687,87684
7,1688,78251
7,1689,76618
7,1690,7615
7,1691,4993
7,1692,8712
7,1693,10428
7,1694,9082
7,1695,7815
7,1696,11223
7,1697,9933
7,1698,34925
7,1699,102265
7,1700,10828
7,1701,13321
7,1702,38897
7,1703,19828
7,1704,11690
7,1705,12409
7,1706,17123
7,1707,9805
7,1708,16595
7,1709,14372
7,1710,15634
3,1711,6781
3,1712,12801
3,1713,14218
3,1714,17653
3,1715,10006
3,1716,89340
3,1717,91998
3,1718,76674
3,1719,61815
3,1720,5165
3,1721,5525
3,1722,11207
3,1723,8282
3,1724,16026
3,1725,12337
3,1726,10882
3,1727,6852
3,1728,27620
