dataset_ID,interval,attack,spikes,class,differenceSpikes_1
0,4242,FLO,5347,0,-2605
0,4243,FLO,8414,0,3067
0,4244,FLO,7029,0,-1385
0,4245,FLO,10252,0,3223
0,4246,FLO,11303,0,1051
0,4247,FLO,16003,0,4700
0,4248,FLO,16181,0,178
0,4249,FLO,109649,0,93468
0,4250,FLO,10577,0,-99072
0,4251,FLO,9550,0,-1027
0,4252,FLO,48445,0,38895
0,4253,FLO,18210,0,-30235
0,4254,FLO,15996,0,-2214
0,4255,FLO,14568,0,-1428
0,4256,FLO,11044,0,-3524
0,4257,FLO,14017,0,2973
0,4258,FLO,11485,0,-2532
0,4259,FLO,8510,0,-2975
0,4260,FLO,12043,0,3533
7,4261,Spontaneous,5462,0,-6581
7,4262,Spontaneous,7079,0,1617
7,4263,Spontaneous,12861,0,5782
7,4264,Spontaneous,9218,0,-3643
7,4265,Spontaneous,11137,0,1919
7,4266,Spontaneous,80360,0,69223
7,4267,Spontaneous,87684,0,7324
7,4268,Spontaneous,78251,0,-9433
7,4269,Spontaneous,76618,0,-1633
7,4270,Spontaneous,7615,0,-69003
7,4271,Spontaneous,4993,0,-2622
7,4272,Spontaneous,8712,0,3719
7,4273,Spontaneous,10428,0,1716
7,4274,Spontaneous,9082,0,-1346
7,4275,Spontaneous,7815,0,-1267
7,4276,Spontaneous,11223,0,3408
7,4277,Spontaneous,9933,0,-1290
7,4278,Spontaneous,34925,0,24992
7,4279,Spontaneous,102265,0,67340
7,4280,Spontaneous,10828,0,-91437
7,4281,Spontaneous,13321,0,2493
7,4282,Spontaneous,38897,0,25576
7,4283,Spontaneous,19828,0,-19069
7,4284,Spontaneous,11690,0,-8138
7,4285,Spontaneous,12409,0,719
7,4286,Spontaneous,17123,0,4714
7,4287,Spontaneous,9805,0,-7318
7,4288,Spontaneous,16595,0,6790
7,4289,Spontaneous,14372,0,-2223
7,4290,Spontaneous,15634,0,1262
